game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,season_year,minutes_played
U2023_003_WOL,U2023_003,PRS-WOL,1,REGULAR SEASON,U2023,WOL,False,True,WOL,TOTAL,Wolves Vilnius,78,17,33,11,26,11,14,10,18,28,16,5,15,2,2,21,16,73,0,2023,200.0
U2023_163_LJU,U2023_163,LJU-LLI,17,REGULAR SEASON,U2023,LJU,False,True,LJU,TOTAL,Cedevita Olimpija Ljubljana,85,16,35,11,33,20,27,15,24,39,19,9,13,7,4,16,19,97,0,2023,200.0
U2023_163_LLI,U2023_163,LJU-LLI,17,REGULAR SEASON,U2023,LLI,False,True,LLI,TOTAL,London Lions,92,26,45,11,26,7,10,11,28,39,25,9,14,4,7,19,16,108,0,2023,200.0
U2023_104_PRS,U2023_104,PRS-VNC,11,REGULAR SEASON,U2023,PRS,False,True,PRS,TOTAL,Paris Basketball,100,30,43,7,27,19,28,15,26,41,19,11,12,1,4,20,21,115,0,2023,200.0
U2023_104_VNC,U2023_104,PRS-VNC,11,REGULAR SEASON,U2023,VNC,False,True,VNC,TOTAL,Umana Reyer Venice,70,19,36,8,28,8,20,12,23,35,20,3,18,4,1,21,20,63,0,2023,200.0
U2023_030_TRN,U2023_030,TRN-CAN,3,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,73,21,40,6,22,13,21,11,24,35,19,7,13,3,2,20,23,82,0,2023,200.0
U2023_030_CAN,U2023_030,TRN-CAN,3,REGULAR SEASON,U2023,CAN,False,True,CAN,TOTAL,Dreamland Gran Canaria,87,20,35,12,23,11,19,7,26,33,21,5,16,2,3,24,19,90,0,2023,200.0
U2023_097_TTK,U2023_097,TTK-CLU,10,REGULAR SEASON,U2023,TTK,False,True,TTK,TOTAL,Turk Telekom Ankara,95,24,43,9,25,20,25,16,17,33,23,12,14,8,1,23,21,114,0,2023,200.0
U2023_097_CLU,U2023_097,TTK-CLU,10,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,84,21,36,11,24,9,15,12,22,34,25,9,19,1,8,21,23,94,0,2023,200.0
U2023_039_WRO,U2023_039,WRO-ARI,4,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,63,18,35,3,18,18,25,9,29,38,17,1,21,3,6,25,20,51,0,2023,200.0
U2023_039_ARI,U2023_039,WRO-ARI,4,REGULAR SEASON,U2023,ARI,False,True,ARI,TOTAL,Aris Midea Thessaloniki,80,21,35,6,28,20,24,7,24,31,15,13,9,6,3,21,24,96,0,2023,200.0
U2023_144_LLI,U2023_144,LLI-JOV,15,REGULAR SEASON,U2023,LLI,False,True,LLI,TOTAL,London Lions,80,21,38,6,25,20,22,9,22,31,18,9,13,4,1,17,26,99,0,2023,200.0
U2023_144_JOV,U2023_144,LLI-JOV,15,REGULAR SEASON,U2023,JOV,False,True,JOV,TOTAL,Joventut Badalona,82,24,38,9,25,7,10,9,27,36,21,8,18,1,4,26,17,84,0,2023,200.0
U2023_096_WRO,U2023_096,WRO-BOU,10,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,63,15,32,7,24,12,20,12,24,36,13,10,20,1,2,17,21,63,0,2023,200.0
U2023_096_BOU,U2023_096,WRO-BOU,10,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,72,17,35,9,25,11,13,10,25,35,14,11,20,2,1,21,17,73,0,2023,200.0
U2023_077_WRO,U2023_077,WRO-LKB,8,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,71,18,34,8,23,11,12,8,23,31,21,7,16,3,2,17,17,83,0,2023,200.0
U2023_077_LKB,U2023_077,WRO-LKB,8,REGULAR SEASON,U2023,LKB,False,True,LKB,TOTAL,7Bet-Lietkabelis Panevezys,75,10,25,15,39,10,14,16,23,39,19,9,15,2,3,17,17,83,0,2023,200.0
U2023_153_LLI,U2023_153,LLI-BES,16,REGULAR SEASON,U2023,LLI,False,True,LLI,TOTAL,London Lions,93,27,39,4,12,27,39,4,32,36,23,8,14,1,3,19,31,124,0,2023,200.0
U2023_153_BES,U2023_153,LLI-BES,16,REGULAR SEASON,U2023,BES,False,True,BES,TOTAL,Besiktas Emlakjet Istanbul,72,18,43,7,31,15,20,19,21,40,12,10,12,3,1,31,19,58,0,2023,200.0
U2023_184_PMT,U2023_184,PMT-ARI,19,EIGHTHFINALS,U2023,PMT,False,True,PMT,TOTAL,Prometey Slobozhanske,95,21,36,10,20,23,28,8,25,33,21,9,15,6,4,19,26,122,0,2023,200.0
U2023_184_ARI,U2023_184,PMT-ARI,19,EIGHTHFINALS,U2023,ARI,False,True,ARI,TOTAL,Aris Midea Thessaloniki,67,22,37,5,25,8,14,10,19,29,12,9,19,4,6,26,19,48,0,2023,200.0
U2023_064_LJU,U2023_064,LJU-HAM,7,REGULAR SEASON,U2023,LJU,False,True,LJU,TOTAL,Cedevita Olimpija Ljubljana,83,21,44,8,34,17,29,18,28,46,15,7,10,6,0,22,27,91,0,2023,200.0
U2023_064_HAM,U2023_064,LJU-HAM,7,REGULAR SEASON,U2023,HAM,False,True,HAM,TOTAL,Veolia Towers Hamburg,86,21,40,10,25,14,21,5,36,41,17,6,15,0,6,27,21,82,0,2023,200.0
U2023_029_ULM,U2023_029,ULM-LKB,3,REGULAR SEASON,U2023,ULM,False,True,ULM,TOTAL,Ratiopharm Ulm,99,21,36,17,32,6,8,7,27,34,20,6,9,2,0,21,14,113,0,2023,200.0
U2023_029_LKB,U2023_029,ULM-LKB,3,REGULAR SEASON,U2023,LKB,False,True,LKB,TOTAL,7Bet-Lietkabelis Panevezys,74,16,36,7,24,21,26,12,23,35,18,4,14,0,2,14,21,80,0,2023,200.0
U2023_154_HAM,U2023_154,HAM-LJU,16,REGULAR SEASON,U2023,HAM,False,True,HAM,TOTAL,Veolia Towers Hamburg,83,25,45,7,19,12,18,7,18,25,19,3,20,4,1,24,16,67,0,2023,200.0
U2023_154_LJU,U2023_154,HAM-LJU,16,REGULAR SEASON,U2023,LJU,False,True,LJU,TOTAL,Cedevita Olimpija Ljubljana,114,35,49,6,16,26,29,8,24,32,19,10,13,1,4,17,24,139,0,2023,200.0
U2023_106_BOU,U2023_106,BOU-TRN,11,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,79,23,42,3,17,24,31,12,31,43,15,8,18,4,0,17,21,95,0,2023,200.0
U2023_106_TRN,U2023_106,BOU-TRN,11,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,67,17,39,8,29,9,10,10,22,32,15,10,17,0,4,21,17,55,0,2023,200.0
U2023_120_CAN,U2023_120,CAN-TRN,12,REGULAR SEASON,U2023,CAN,False,True,CAN,TOTAL,Dreamland Gran Canaria,76,21,41,6,23,16,20,14,21,35,20,5,18,4,3,20,25,83,0,2023,200.0
U2023_120_TRN,U2023_120,CAN-TRN,12,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,98,28,43,12,28,6,9,13,22,35,23,11,13,3,4,25,19,113,0,2023,200.0
U2023_124_HTA,U2023_124,HTA-HAM,13,REGULAR SEASON,U2023,HTA,False,True,HTA,TOTAL,Hapoel Shlomo Tel Aviv,118,27,45,14,24,22,29,10,19,29,28,9,11,2,2,16,27,149,0,2023,200.0
U2023_124_HAM,U2023_124,HTA-HAM,13,REGULAR SEASON,U2023,HAM,False,True,HAM,TOTAL,Veolia Towers Hamburg,101,23,33,15,30,10,12,7,22,29,30,11,19,2,2,27,15,113,0,2023,200.0
U2023_048_ULM,U2023_048,ULM-WRO,5,REGULAR SEASON,U2023,ULM,False,True,ULM,TOTAL,Ratiopharm Ulm,108,23,42,16,37,14,18,12,25,37,35,13,12,4,1,26,17,131,0,2023,225.0
U2023_048_WRO,U2023_048,ULM-WRO,5,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,103,27,40,10,30,19,25,12,28,40,23,8,19,1,4,17,26,122,0,2023,225.0
U2023_156_ARI,U2023_156,ARI-BOU,16,REGULAR SEASON,U2023,ARI,False,True,ARI,TOTAL,Aris Midea Thessaloniki,68,17,33,8,27,10,13,10,18,28,12,9,16,3,3,20,17,60,0,2023,200.0
U2023_156_BOU,U2023_156,ARI-BOU,16,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,76,19,38,10,23,8,12,14,25,39,17,10,19,3,3,17,20,90,0,2023,200.0
U2023_008_BUD,U2023_008,BUD-LKB,1,REGULAR SEASON,U2023,BUD,False,True,BUD,TOTAL,Buducnost Voli Podgorica,76,22,36,6,25,14,23,10,25,35,11,9,11,2,3,21,21,77,0,2023,200.0
U2023_008_LKB,U2023_008,BUD-LKB,1,REGULAR SEASON,U2023,LKB,False,True,LKB,TOTAL,7Bet-Lietkabelis Panevezys,65,17,34,8,28,7,12,14,28,42,16,3,19,3,2,21,21,66,0,2023,200.0
U2023_068_TRN,U2023_068,TRN-CLU,7,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,60,11,33,10,36,8,10,15,20,35,17,4,14,3,3,21,15,46,0,2023,200.0
U2023_068_CLU,U2023_068,TRN-CLU,7,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,98,26,48,10,22,16,24,17,32,49,20,8,10,3,3,15,21,129,0,2023,200.0
U2023_132_HTA,U2023_132,HTA-LLI,14,REGULAR SEASON,U2023,HTA,False,True,HTA,TOTAL,Hapoel Shlomo Tel Aviv,96,23,37,11,31,17,24,10,20,30,22,10,12,1,0,20,19,105,0,2023,200.0
U2023_132_LLI,U2023_132,HTA-LLI,14,REGULAR SEASON,U2023,LLI,False,True,LLI,TOTAL,London Lions,100,22,36,16,32,8,12,9,24,33,29,8,17,0,1,19,20,119,0,2023,200.0
U2023_010_ULM,U2023_010,ULM-TRN,1,REGULAR SEASON,U2023,ULM,False,True,ULM,TOTAL,Ratiopharm Ulm,80,18,37,11,36,11,17,18,24,42,16,13,14,3,6,18,23,89,0,2023,200.0
U2023_010_TRN,U2023_010,ULM-TRN,1,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,70,13,24,11,32,11,16,8,29,37,16,4,24,6,3,23,18,64,0,2023,200.0
